Category: All categories

Week,bitcoin: (Worldwide)
2016-01-03,3
2016-01-10,4
2016-01-17,3
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,3
2016-02-21,4
2016-02-28,4
2016-03-06,4
2016-03-13,4
2016-03-20,3
2016-03-27,2
2016-04-03,2
2016-04-10,2
2016-04-17,2
2016-04-24,3
2016-05-01,14
2016-05-08,3
2016-05-15,2
2016-05-22,2
2016-05-29,3
2016-06-05,3
2016-06-12,5
2016-06-19,5
2016-06-26,4
2016-07-03,6
2016-07-10,4
2016-07-17,4
2016-07-24,4
2016-07-31,7
2016-08-07,5
2016-08-14,4
2016-08-21,3
2016-08-28,4
2016-09-04,5
2016-09-11,4
2016-09-18,3
2016-09-25,4
2016-10-02,4
2016-10-09,4
2016-10-16,4
2016-10-23,4
2016-10-30,4
2016-11-06,4
2016-11-13,4
2016-11-20,5
2016-11-27,5
2016-12-04,4
2016-12-11,4
2016-12-18,6
2016-12-25,6
2017-01-01,12
2017-01-08,6
2017-01-15,5
2017-01-22,5
2017-01-29,6
2017-02-05,6
2017-02-12,6
2017-02-19,6
2017-02-26,8
2017-03-05,16
2017-03-12,7
2017-03-19,6
2017-03-26,5
2017-04-02,4
2017-04-09,3
2017-04-16,5
2017-04-23,4
2017-04-30,6
2017-05-07,9
2017-05-14,12
2017-05-21,17
2017-05-28,8
2017-06-04,12
2017-06-11,14
2017-06-18,9
2017-06-25,9
2017-07-02,7
2017-07-09,11
2017-07-16,12
2017-07-23,13
2017-07-30,22
2017-08-06,15
2017-08-13,17
2017-08-20,15
2017-08-27,15
2017-09-03,22
2017-09-10,30
2017-09-17,17
2017-09-24,16
2017-10-01,13
2017-10-08,19
2017-10-15,22
2017-10-22,24
2017-10-29,28
2017-11-05,34
2017-11-12,34
2017-11-19,28
2017-11-26,63
2017-12-03,80
2017-12-10,74
2017-12-17,100
2017-12-24,54
2017-12-31,37
2018-01-07,45
2018-01-14,68
2018-01-21,42
2018-01-28,50
2018-02-04,57
2018-02-11,28
2018-02-18,29
2018-02-25,17
2018-03-04,22
2018-03-11,25
2018-03-18,23
2018-03-25,25
2018-04-01,21
2018-04-08,17
2018-04-15,16
2018-04-22,20
2018-04-29,15
2018-05-06,18
2018-05-13,16
2018-05-20,15
2018-05-27,12
2018-06-03,10
2018-06-10,17
2018-06-17,15
2018-06-24,13
2018-07-01,13
2018-07-08,12
2018-07-15,16
2018-07-22,17
2018-07-29,14
2018-08-05,16
2018-08-12,14
2018-08-19,14
2018-08-26,11
2018-09-02,15
2018-09-09,13
2018-09-16,13
2018-09-23,10
2018-09-30,11
2018-10-07,11
2018-10-14,11
2018-10-21,9
2018-10-28,13
2018-11-04,14
2018-11-11,17
2018-11-18,19
2018-11-25,21
2018-12-02,16
2018-12-09,15
2018-12-16,15
2018-12-23,12
2018-12-30,10
2019-01-06,14
2019-01-13,12
2019-01-20,10
2019-01-27,9
2019-02-03,12
2019-02-10,11
2019-02-17,13
2019-02-24,12
2019-03-03,11
2019-03-10,9
2019-03-17,12
2019-03-24,10
2019-03-31,19
2019-04-07,12
2019-04-14,13
2019-04-21,15
2019-04-28,12
2019-05-05,15
2019-05-12,25
2019-05-19,16
2019-05-26,16
2019-06-02,16
2019-06-09,14
2019-06-16,20
2019-06-23,28
2019-06-30,17
2019-07-07,19
2019-07-14,16
2019-07-21,12
2019-07-28,12
2019-08-04,16
2019-08-11,14
2019-08-18,11
2019-08-25,11
2019-09-01,9
2019-09-08,11
2019-09-15,10
2019-09-22,17
2019-09-29,9
2019-10-06,12
2019-10-13,10
2019-10-20,17
2019-10-27,11
2019-11-03,10
2019-11-10,9
2019-11-17,13
2019-11-24,12
2019-12-01,11
2019-12-08,11
2019-12-15,13
2019-12-22,10
2019-12-29,12
2020-01-05,12
2020-01-12,15
2020-01-19,12
2020-01-26,10
2020-02-02,14
2020-02-09,14
2020-02-16,12
2020-02-23,12
2020-03-01,10
2020-03-08,14
2020-03-15,12
2020-03-22,10
2020-03-29,8
2020-04-05,10
2020-04-12,12
2020-04-19,11
2020-04-26,17
2020-05-03,19
2020-05-10,24
2020-05-17,14
2020-05-24,10
2020-05-31,9
2020-06-07,10
2020-06-14,10
2020-06-21,11
2020-06-28,10
2020-07-05,9
2020-07-12,11
2020-07-19,9
2020-07-26,18
2020-08-02,14
2020-08-09,12
2020-08-16,9
2020-08-23,11
2020-08-30,11
2020-09-06,9
2020-09-13,7
2020-09-20,8
2020-09-27,9
2020-10-04,7
2020-10-11,9
2020-10-18,13
2020-10-25,13
2020-11-01,15
2020-11-08,12
2020-11-15,21
2020-11-22,21
